ID,Nombre_Megacorp
1,Orion Holdings
2,Stellar Systems
3,Solaris Corp
4,Crimson Prime
5,Hyper Concord
6,Horizon Solutions
7,Eon Alliance
8,Solutions Group
9,Quantum Alliance
10,Horizon Prime
11,Giga Enterprises
12,Cyber Ventures
13,Nexus Networks
14,Cosmos Concord
15,Fusion Ventures
16,Luminary Concord
17,Concord Synthetics
18,Techno Prime
19,Zenith Concord
20,Horizon Group
21,Dyna Matrix
22,Stellar Enterprises
23,Cyber Enterprises
24,Zenith Alliance
25,Quantum Nexus
26,Aero Solutions
27,Prime Synthetics
28,Orion Nexus
29,Nano Dynamics
30,Nova Systems
31,Galactic Dynamics
32,Bio Nexus
33,Quantum Corp
34,Veridian Synthetics
35,Nexus Ventures
36,Infini Industries
37,Xeno Corp
38,Krypto Nexus
39,Fusion Global
40,Systems Synthetics
41,Techno Systems
42,Crimson Enterprises
43,Eon Enterprises
44,Apex Alliance
45,Omni Solutions
46,Hyper Enterprises
47,Eon Dynamics
48,Cosmos Networks
49,Syn Networks
50,Crimson Global
51,Stellar Concord
52,Horizon Systems
53,Enterprises Holdings
54,Galactic Nexus
55,Luminary Holdings
56,Elysian Alliance
57,Azure Matrix
58,Spectral Corp
59,Infini Networks
60,Omni Concord
61,Luminary Alliance
62,Orion Matrix
63,Nova Enterprises
64,Giga Group
65,Nexus Concord
66,Eon Prime
67,Galactic Matrix
68,Cyber Networks
69,Titan Networks
70,Prime Group
71,Azure Nexus
72,Titan Enterprises
73,Galactic Alliance
74,Industries Alliance
75,Bio Alliance
76,Quantum Matrix
77,Infini Group
78,Chrono Nexus
79,Crimson Concord
80,Innova Solutions
81,Stellar Holdings
82,Enterprises Networks
83,Eon Solutions
84,Eon Industries
85,Nexus Nexus
86,Bio Ventures
87,Dyna Networks
88,Eon Matrix
89,Crimson Alliance
90,Solaris Ventures
91,Krypto Networks
92,Innova Systems
93,Syn Prime
94,Chrono Solutions
95,Nova Matrix
96,Titan Industries
97,Cosmos Dynamics
98,Quantum Networks
99,Syn Synthetics
100,Xeno Matrix
101,Systems Alliance
102,Infini Dynamics
103,Eon Group
104,Titan Global
105,Quantum Systems
106,Mega Industries
107,Azure Industries
108,Systems Group
109,Apex Networks
110,Krypto Concord
111,Innova Holdings
112,Azure Ventures
113,Solaris Systems
114,Fusion Industries
115,Veridian Systems
116,Enterprises Synthetics
117,Apex Ventures
118,Infini Ventures
119,Elysian Ventures
120,Luminary Dynamics
121,Vanguard Concord
122,Nano Ventures
123,Techno Alliance
124,Veridian Ventures
125,Crimson Solutions
126,Titan Holdings
127,Nexus Corp
128,Krypto Systems
129,Astra Enterprises
130,Techno Dynamics
131,Nova Networks
132,Terra Corp
133,Galactic Networks
134,Dynamics Holdings
135,Orion Dynamics
136,Nano Solutions
137,Chrono Global
138,Xeno Systems
139,Ventures Synthetics
140,Chrono Systems
141,Concord Networks
142,Solaris Prime
143,Terra Industries
144,Titan Concord
145,Krypto Matrix
146,Matrix Alliance
147,Cosmos Alliance
148,Hyper Dynamics
149,Azure Synthetics
150,Chrono Enterprises
151,Chrono Ventures
152,Azure Corp
153,Horizon Ventures
154,Elysian Dynamics
155,Solaris Nexus
156,Zenith Holdings
157,Mega Networks
158,Hyper Solutions
159,Dyna Corp
160,Elysian Enterprises
161,Aero Global
162,Horizon Dynamics
163,Horizon Industries
164,Titan Prime
165,Stellar Dynamics
166,Zenith Group
167,Fusion Synthetics
168,Spectral Dynamics
169,Mega Matrix
170,Elysian Matrix
171,Chrono Holdings
172,Astra Synthetics
173,Hyper Industries
174,Hyper Group
175,Syn Ventures
176,Industries Group
